가구원수,취업인원수,가구주_연령,비동거취업미혼자녀수,비동거학업미혼자녀수,비동거기타미혼자녀수,자동차보유대수,월세평가금액,전세보증금,월세사글세,주거용전용면적,주택소유유무,가계지출금액,가계지출_소비지출금액
1,0,27,0,0,0,1,400,95000,0,84,2,1176961,994812
1,0,28,0,0,0,0,300,60000,0,40,2,1499400,1235786
1,0,28,0,0,0,0,350,35000,0,39,2,775609,447349
1,0,28,0,0,0,0,380,5000,360,17,2,1582474,1287294
1,0,28,0,0,0,0,425,85000,0,25,2,645703,535493
1,0,28,0,0,0,0,640,0,0,16,2,1796980,1796980
1,0,28,0,0,0,1,330,55000,0,32,2,1083395,1074385
1,0,29,0,0,0,0,270,1000,250,27,2,712319,674579
1,0,29,0,0,0,0,300,2000,290,30,2,755415,745415
1,0,29,0,0,0,0,300,2000,300,30,2,1055278,1023218
1,0,29,0,0,0,0,320,80000,0,24,2,506950,506950
1,0,29,0,0,0,0,446,10000,400,30,2,1108214,1087964
1,0,29,0,0,0,0,450,5000,400,29,2,2842148,2839648
1,0,29,0,0,0,0,580,100000,0,29,2,1737199,1402774
1,0,29,0,0,0,0,800,20000,400,33,2,2217870,2217870
1,0,29,0,0,0,1,300,20000,61,50,2,1290844,1252648
1,0,29,0,0,0,1,320,2000,300,45,2,1069591,1069591
1,0,30,0,0,0,0,300,1000,230,17,2,577616,547022
1,0,30,0,0,0,0,640,130000,0,16,2,1480318,1121075
1,0,30,0,0,0,0,670,114000,0,20,2,625690,595690
1,0,31,0,0,0,0,155,1000,150,26,2,971934,858888
1,0,31,0,0,0,0,400,30000,250,33,2,1140804,1106304
1,0,31,0,0,0,0,462,30000,450,33,2,1529101,1527601
1,0,31,0,0,0,0,580,10000,530,76,2,1983196,1981050
1,0,31,0,0,0,0,750,10000,700,25,2,2044504,1838852
1,0,31,0,0,0,0,800,3000,450,31,2,1525044,1509034
1,0,31,0,0,0,1,160,1000,150,33,2,838870,808870
1,0,31,0,0,0,1,196,45000,111,39.56,2,1519713,1490047
1,0,31,0,0,0,1,400,5000,350,50,2,2043170,1873967
1,0,32,0,0,0,0,250,50000,0,40,2,913448,892448
1,0,32,0,0,0,0,280,140000,0,54,2,1443354,1234245
1,0,32,0,0,0,0,280,17000,80,30,2,642156,638822
1,0,32,0,0,0,1,350,10000,350,42,2,2053948,2048948
1,0,32,0,0,0,1,400,65000,0,45,1,1601984,1402366
1,0,32,0,0,0,1,950,0,0,84,2,2642533,2621700
1,0,33,0,0,0,0,225,50000,0,20,2,1411264,1157475
1,0,33,0,0,0,0,350,5000,300,17,2,1253572,1148442
1,0,33,0,0,0,0,400,3000,400,20,2,1411887,1152597
1,0,33,0,0,0,0,450,20000,350,20,2,1458372,1390372
1,0,34,0,0,0,0,200,0,0,50,2,967761,967761
1,0,34,0,0,0,0,330,1000,270,23,2,1169087,1009724
1,0,34,0,0,0,1,1000,0,0,60,2,2284368,2281536
1,0,35,0,0,0,0,216,2000,200,19,2,486707,470157
1,0,35,0,0,0,0,300,0,300,26,2,646235,620493
1,0,35,0,0,0,0,300,20000,150,70,2,1296791,1144707
1,0,35,0,0,0,0,470,5000,450,18,1,1534935,1263126
1,0,35,0,0,0,0,510,60000,0,40,2,1022572,936462
1,0,35,0,0,0,0,730,70000,450,21,2,3150652,2858297
1,0,35,0,0,0,1,700,0,0,97,1,6918385,6378828
1,0,36,0,0,0,0,162,12000,102,30,2,1252207,1240077
1,0,36,0,0,0,0,450,7500,0,46,2,864419,709149
1,0,36,0,0,0,1,407,1500,400,50,2,1321620,1275870
1,0,36,0,0,0,1,540,90000,0,59,2,1609047,1402073
1,0,36,0,0,0,1,880,50000,650,50,2,3218679,2095606
1,0,37,0,0,0,0,230,0,230,33,2,814094,771783
1,0,37,0,0,0,0,245,2000,230,33,2,1229550,1229550
1,0,37,0,0,0,0,400,120000,0,50,2,623989,568239
1,0,37,0,0,0,0,56,0,0,66,1,1041440,1041440
1,0,37,0,0,0,1,150,0,0,99,2,1199239,1131239
1,0,37,0,0,0,1,290,5000,250,43,2,1199795,1133675
1,0,37,0,0,0,1,380,20000,230,33,2,1499388,1477432
1,0,37,0,0,0,1,450,0,0,79,1,2663950,2311113
1,0,38,0,0,0,0,220,1000,220,16,2,1013908,1013908
1,0,38,0,0,0,0,450,90000,0,38,2,1904566,1773983
1,0,38,0,0,0,0,700,40000,233,47,2,1075263,1075263
1,0,39,0,0,0,0,300,2500,57,50,2,790403,767156
1,0,39,0,0,0,0,350,75000,0,56,2,2296904,2023170
1,0,39,0,0,0,0,490,34000,320,53,2,1890371,1815395
1,0,39,0,0,0,1,270,25000,0,41,2,2199649,1924395
